Le droit d'accès (Article 15) permet à la personne concernée d'obtenir :;Une copie des données à caractère personnel faisant l'objet d'un traitement;Un accès physique aux serveurs de l'entreprise;La liste des employés ayant consulté ses données;Un résumé oral des données stockées;2;Le responsable du traitement doit fournir une copie des données à caractère personnel faisant l'objet d'un traitement.
Dans quel cas le droit à l'effacement (« droit à l'oubli ») de l'article 17 s'applique-t-il ?;Si le responsable du traitement refuse de baisser ses prix;Lorsque les données ne sont plus nécessaires au regard des finalités initiales;Systématiquement sur simple demande sans condition;Uniquement pour les données publiques;3;L'effacement s'applique notamment si les données ne sont plus nécessaires aux finalités ou si la personne retire son consentement et qu'il n'y a pas d'autre base légale.
Qu'est-ce que le droit à la portabilité des données (Article 20) ?;Le droit de déplacer ses données manuellement;Le droit de recevoir ses données dans un format structuré couramment utilisé et lisible par machine;Le droit de transférer ses données uniquement vers une autorité publique;Le droit d'imprimer ses données sur papier;3;Ce droit permet de recevoir les données fournies dans un format structuré pour les transmettre aisément à un autre responsable du traitement.
Que signifie le principe de "protection des données dès la conception" (Privacy by design) à l'article 25 ?;Mettre en œuvre des mesures de protection au moment de la détermination des moyens et du traitement;Installer un antivirus sur les ordinateurs;Nommer un DPO avant de commencer l'activité;Faire signer une charte de confidentialité aux salariés;2;Le responsable doit intégrer les garanties nécessaires dans le traitement dès sa conception et par défaut.
Quelle formalité régit la relation entre un responsable du traitement et un sous-traitant (Article 28) ?;Un simple accord oral;Une déclaration sur l'honneur;Un contrat ou un autre acte juridique liant le sous-traitant au responsable;Aucune formalité n'est requise;4;Le traitement par un sous-traitant doit être régi par un contrat ou un autre acte juridique définissant l'objet et la durée du traitement.
Quelle est l'exception principale à la tenue du registre des activités de traitement (Article 30) ?;Les entreprises réalisant un chiffre d'affaires faible;Les entreprises de moins de 250 employés (sous conditions de risque);Les entreprises publiques;Les associations loi 1901;3;L'obligation ne s'applique pas aux entités de moins de 250 employés, sauf risque pour les droits et libertés ou traitement non occasionnel.
Quel est le délai maximal pour notifier une violation de données à l'autorité de contrôle (Article 33) ?;24 heures;48 heures;72 heures après en avoir pris connaissance;7 jours ouvrés;4;La notification doit être faite dans les meilleurs délais et si possible 72 heures au plus tard après avoir pris connaissance de la violation.
Quand une analyse d'impact relative à la protection des données (AIPD) est-elle requise (Article 35) ?;Pour tout traitement de données;Lorsque le traitement est susceptible d'engendrer un risque élevé pour les droits et libertés;Uniquement si le traitement utilise l'intelligence artificielle;Chaque année pour le bilan comptable;3;L'analyse est obligatoire avant le traitement lorsqu'il présente un risque élevé, notamment lors de l'usage de nouvelles technologies.
La désignation d'un Délégué à la Protection des Données (DPO) est obligatoire si (Article 37) :;L'entreprise est une PME;Le traitement est effectué par une autorité publique ou exige un suivi régulier à grande échelle;L'entreprise traite des données clients;Le responsable du traitement le décide volontairement uniquement;3;La désignation est obligatoire pour les autorités publiques ou si les activités de base exigent un suivi régulier et systématique à grande échelle.
Qu'est-ce qu'une décision d'adéquation rendue par la Commission (Article 45) ?;Une amende pour non-respect du RGPD;Une autorisation de transfert vers un pays tiers assurant un niveau de protection adéquat;Une interdiction de transfert de données;Une certification pour les logiciels de sécurité;3;C'est une décision constatant qu'un pays tiers assure un niveau de protection adéquat, permettant le transfert de données sans autorisation spécifique.
Quelle est la caractéristique fondamentale des autorités de contrôle selon l'article 52 ?;Elles dépendent du ministère de l'Intérieur;Elles exercent leurs missions en toute indépendance;Elles sont des organismes privés à but lucratif;Elles doivent être composées de juges uniquement;3;Les autorités de contrôle doivent exercer leurs missions et pouvoirs en toute indépendance et ne solliciter aucune instruction.
Quel est le mécanisme de coopération pour les traitements transfrontaliers (Article 56) ?;Le mécanisme de vote à la majorité;Le guichet unique avec une autorité de contrôle chef de file;La saisine de la Cour de Justice uniquement;L'accord bilatéral entre États;3;L'autorité de l'établissement principal agit comme autorité chef de file et interlocuteur unique pour le traitement transfrontalier.
Quel est le montant maximal de l'amende pour les violations les plus graves (Article 83) ?;1 million d'euros;10 millions d'euros ou 2% du CA mondial;20 millions d'euros ou 4% du chiffre d'affaires annuel mondial total;500 000 euros;4;Pour les infractions graves (ex: non-respect des droits des personnes), l'amende peut atteindre 20 millions d'euros ou 4 % du chiffre d'affaires annuel mondial.
Qui peut obtenir réparation en cas de dommage causé par une violation du RGPD (Article 82) ?;Uniquement les citoyens européens;Seulement les autorités de contrôle;Toute personne ayant subi un dommage matériel ou moral;Uniquement les entreprises concurrentes;4;Toute personne ayant subi un dommage du fait d'une violation du règlement a le droit d'obtenir réparation du responsable ou du sous-traitant.
À quelle date le Règlement (UE) 2016/679 est-il devenu applicable (Article 99) ?;Le 24 mai 2016;Le 1er janvier 2018;Le 25 mai 2018;Le 31 décembre 2018;4;Bien qu'entré en vigueur en 2016, le règlement est applicable à partir du 25 mai 2018.
