Quel est l'objectif principal du Référentiel Général de Sécurité (RGS) ?,Renforcer la confiance des usagers dans les services électroniques proposés par les autorités administratives.
"Pour qu'une signature électronique soit ""présumée fiable"" au sens de l'article 1316-4 du Code civil, quel niveau de sécurité RGS doit-elle au minimum respecter ?","Le niveau de sécurité (***) de la fonction signature électronique, car il inclut les exigences du décret de 2001."
"Combien de niveaux de sécurité l'annexe [RGS_A5] ""Politique d’horodatage type"" distingue-t-elle ?",Un seul niveau unique de sécurité.
Qu'est-ce que l'IGC/A ?,"L'Infrastructure de Gestion de la Confiance de l'Administration, dont l'ANSSI est l'autorité racine."
Il est recommandé que les accusés d'enregistrement et de réception soient _____ avec des contremarques de temps conformes au RGS.,horodatés
"Conformément à l'article 4 du décret RGS, que doivent faire les autorités administratives si elles n'utilisent pas de produits ou prestataires qualifiés ?",Elles doivent s'assurer elles-mêmes de la conformité au RGS et adresser une attestation formelle à l'ANSSI.
Quels sont les trois niveaux de qualification pour un produit de sécurité ?,"Élémentaire, standard et renforcée."
Sur quelle certification préalable repose la qualification de niveau élémentaire d'un produit de sécurité ?,Sur une certification de sécurité de premier niveau (CSPN).
Sur quelle certification préalable reposent les qualifications de niveau standard et renforcé d'un produit de sécurité ?,"Sur une certification ""Critères communs""."
Qui délivre les attestations de qualification pour les produits de sécurité ?,L'ANSSI.
Terme : PSCO,Prestataire de Services de Confiance.
Quelles sont les trois catégories de PSCO visées par la version 2.0 du RGS ?,"Les prestataires de services de certification électronique (PSCE), d'horodatage électronique (PSHE) et d'audit de la sécurité des SI."
Quelle est la durée de validité d'une qualification de PSCO ?,Trois ans.
"En quoi consiste la procédure de ""validation des certificats par l'État"" mise en œuvre par l'ANSSI ?",Elle consiste à vérifier que la procédure de délivrance des certificats aux autorités administratives et à leurs agents est conforme aux règles du RGS.
"Quel document une autorité de certification (AC) doit-elle rédiger pour chaque fonction, usage et niveau de sécurité ?",Une politique de certification (PC).
Quel est le délai accordé aux autorités administratives pour obtenir la validation de leurs certificats après la publication du RGS v2.0 ?,Un délai de trois ans.
"Après réception d'un dossier de demande complet, si l'ANSSI n'a pas fait part d'une non-conformité, au bout de combien de temps la validation des certificats est-elle réputée obtenue ?",Un délai de deux mois.
Quelle est la recommandation du RGS concernant l'implication des instances décisionnelles ?,"Elles doivent être impliquées pour donner les orientations adéquates, valider les objectifs de sécurité et les risques résiduels."
"Selon le RGS, la sécurité doit être prise en compte dès la phase de _____ des objectifs fonctionnels des systèmes d'information.",définition
Que recommande le RGS concernant la sensibilisation du personnel à la sécurité ?,"Elle doit être régulière et concerner l'ensemble des agents, contractants et utilisateurs tiers."
"Lors de projets d'externalisation ou d'informatique en nuage, que convient-il d'évaluer en premier lieu ?",Les risques spécifiques liés à ce type de démarche.
"En complément des mécanismes de protection, le RGS recommande de mettre en place des mécanismes de _____ des systèmes d'information.",défense
La qualification est un _____ qui permet d'attester de la confiance que l'on peut accorder à des produits de sécurité et à des prestataires.,label
Que doivent élaborer les autorités administratives pour faire face aux incidents de sécurité et revenir à une situation nominale ?,Un plan de continuité d'activité et un plan de reprise d'activité.
À quelle fréquence les autorités administratives doivent-elles réaliser des audits de leurs SI ?,Elles doivent réaliser ou faire réaliser des audits réguliers.
Quelle ressource institutionnelle est citée comme source d'information essentielle sur les vulnérabilités identifiées ?,Le site du CERT-FR (www.cert.ssi.gouv.fr).
Pendant combien de temps après l'entrée en vigueur du RGS v2.0 les certificats conformes à la v1.0 pouvaient-ils encore être émis ?,Pendant l'année qui suit l'entrée en vigueur de la v2.0.
Pendant combien de temps au maximum les autorités administratives devaient-elles accepter les certificats conformes à la v1.0 après l'entrée en vigueur de la v2.0 ?,Pendant une durée maximale de quatre ans.
"Quelle entité est responsable de la publication du RGS, en collaboration avec le SGMAP ?",L'Agence nationale de la sécurité des systèmes d’information (ANSSI).
Quelle est la date de publication de la version 2.0 du Référentiel Général de Sécurité ?,13 juin 2014.
"Dans le cadre d'une procédure simplifiée pour un SI existant, que remplace un audit de sécurité et une analyse de risques simplifiée ?","La démarche complète en cinq étapes, en commençant par l'analyse de risques détaillée."
"La démarche d'analyse de risques consiste à identifier les événements, estimer leurs conséquences et décider des actions pour réduire le risque à un niveau _____.",acceptable
L'homologation de sécurité diffère de celle prononcée sur le fondement de l'IGI 1300 pour les systèmes traitant des informations _____.,classifiées de défense
L'authentification a pour but de vérifier l'_____ dont se réclame une personne ou une machine.,identité
"Quels sont les trois composants principaux d'une fonction de sécurité ""Signature électronique"" selon le RGS ?","La bi-clé et le certificat, le dispositif de création de signature et l'application de création de signature."
Quel mécanisme est considéré comme essentiel pour la protection de la confidentialité des informations ?,Le chiffrement.
"Un horodatage ""présumé fiable"" au sens du code civil est-il de facto conforme aux exigences du document [RGS_A5] ?","Oui, car les exigences de [RGS_A5] constituent un sous-ensemble de celles du décret de 2011."
"Pour l'usage de la signature électronique des actes administratifs, qui détermine le niveau de sécurité requis (*, ** ou ***) ?",L'autorité administrative elle-même.
Quel est le rôle de l'ANSSI vis-à-vis de l'IGC/A ?,L'ANSSI est l'autorité racine de l'IGC/A.
"Dans le cas où un accusé de réception est émis en application de l'article 5.II de l'ordonnance de 2005, que doit-on garantir concernant la date ?","La date figurant sur l'accusé doit faire foi, ce qui impose un niveau de fiabilité supplémentaire."
"Pour garantir la cohérence, il est recommandé que la cible de sécurité d'un produit soit conforme à un des _____ proposés par l'ANSSI.",profils de protection
Qui peut procéder à l'évaluation et à la qualification d'un PSCO lorsque celui-ci est une administration de l'État ?,L'ANSSI peut le faire elle-même.
Quelles informations les autorités administratives doivent-elles mettre à disposition des usagers concernant la validation des certificats ?,"La Politique de Certification (PC) de l'AC, le certificat de l'AC et la mention de l'obtention de la validation."
Quel guide de l'ANSSI est recommandé pour l'élaboration d'une politique de sécurité des systèmes d’information (PSSI) ?,"Le guide ""Politique SSI""."
Quel est l'un des objectifs de l'intégration de la SSI en amont des projets ?,Limiter les surcoûts inhérents à l'application tardive de mesures de sécurité.
"Dans les contrats et achats, que faut-il prévoir concernant la réversibilité des prestations ?",S'assurer que les bases de données sont extractibles et que les formats utilisés sont ouverts.
Quelle est la recommandation pour les tests des plans de continuité et de reprise d'activité ?,Ils doivent faire l'objet de tests réguliers.
Quel référentiel est cité comme traitant spécifiquement de l'interopérabilité des systèmes d'information ?,Le Référentiel général d’interopérabilité.
Quel est le nom complet de l'ANSSI ?,Agence nationale de la sécurité des systèmes d’information.
La démarche de mise en conformité au RGS peut être considérée comme un recueil de _____ pour les organismes non soumis à l'ordonnance de 2005.,bonnes pratiques
"Dans l'analyse des risques, les menaces à prendre en compte sont celles qui pèsent réellement sur le système dans l'_____ dans lequel il se situe.",environnement
L'annexe [RGS_C] contient le référentiel d'exigences applicables à quelle catégorie de prestataires ?,Aux prestataires d’audit de la SSI.
Le RGS n'impose aucune _____ particulière et laisse aux autorités administratives le choix des mesures à mettre en œuvre.,technologie
"Quelle annexe du RGS décrit la ""Politique de Certification Type"" pour les personnes physiques ?",L'annexe [RGS_A2].
"Quelle annexe du RGS décrit la ""Politique de Certification Type"" pour les services applicatifs ?",L'annexe [RGS_A3].
"Le chiffrement, la gestion des droits d'accès et la robustesse des mécanismes d'accès sont des mesures visant à protéger la _____ des informations.",confidentialité
"L'ANSSI peut, à tout moment, demander de vérifier sur place les conditions de _____ des certificats pour s'assurer de leur conformité.",délivrance
"Le RGS recommande de mettre en place un système de management de la sécurité de l'information, tel que défini dans la norme _____.",ISO 27001
Quel guide de l'ANSSI est recommandé pour maîtriser les risques liés à l'externalisation des systèmes d'information ?,"Le guide ""Maîtriser les risques de l’infogérance""."
Que signifie SGMAP ?,Secrétariat général pour la modernisation de l’action publique.
